sub	ses	run	fd_mean	dvars_mean
sub-0078	ses-01	run-01	0.10431268642934553	31.544032896670494
sub-0078	ses-01	run-02	0.08238565774351318	32.48853423421355
sub-0078	ses-01	run-03	0.07926221839999996	32.148443179104476
sub-0078	ses-01	run-04	0.07890945047726748	31.97841439839265
sub-0078	ses-01	run-05	0.10114841187990811	32.21466089092997
sub-0078	ses-01	run-06	0.0876022124153157	32.49853590126292
sub-0078	ses-03	run-01	0.09464538402709526	36.82565797244546
sub-0078	ses-03	run-02	0.1293491051407577	36.36922298507463
sub-0078	ses-03	run-03	0.11233203949896667	35.14155452468427
sub-0078	ses-03	run-04	0.12696092622043625	34.02134901492537
sub-0078	ses-03	run-05	0.12652518827244544	35.44447766819748
sub-0078	ses-03	run-06	0.1684445096287026	34.96763788748565
sub-0078	ses-04	run-01	0.10680276274029846	37.341614614236505
sub-0078	ses-04	run-02	0.09769286878989664	37.59939364753157
sub-0078	ses-04	run-03	0.0970117220145809	37.55119711021814
sub-0078	ses-04	run-04	0.1341605560482204	37.025652712973596
sub-0078	ses-04	run-05	0.11407788142594713	33.36052060160735
sub-0078	ses-04	run-06	0.0922282296319173	36.76732235820896
