sub	ses	run	fd_mean	dvars_mean
sub-0081	ses-01	run-01	0.12319629432916185	32.13936449827784
sub-0081	ses-01	run-02	0.10962099164661304	32.10532942594719
sub-0081	ses-01	run-03	0.1263911724557979	34.25399472904707
sub-0081	ses-01	run-04	0.11992396552698045	32.72943909644087
sub-0081	ses-01	run-05	0.12465104905166471	34.409692523536165
sub-0081	ses-01	run-06	0.149691156927853	32.15400677037888
sub-0081	ses-03	run-01	0.39963314161882885	41.167344028702644
sub-0081	ses-03	run-02	0.23944439802411016	35.96004184959817
sub-0081	ses-03	run-03	0.38733616478369687	41.8909599598163
sub-0081	ses-03	run-04	0.22837256897703784	35.67489611021814
sub-0081	ses-03	run-05	0.24051124581400687	35.95200366704937
sub-0081	ses-03	run-06	0.2862939161010333	42.3928506946039
sub-0081	ses-04	run-01	0.16658892903024106	36.11066510447761
sub-0081	ses-04	run-02	0.28712487467921927	36.882282461538466
sub-0081	ses-04	run-03	0.23407681815269804	38.72871672560275
sub-0081	ses-04	run-04	0.4247375988518943	39.99981285304248
sub-0081	ses-04	run-05	0.31612012116188287	36.49447100574053
sub-0081	ses-04	run-06	0.183020946641791	37.15529586567165
