sub	ses	run	fd_mean	dvars_mean
sub-0093	ses-01	run-01	0.14126805886681973	34.077117655568316
sub-0093	ses-01	run-02	0.11208915338863372	34.140908478760046
sub-0093	ses-01	run-03	0.19932009916750856	32.577295222732495
sub-0093	ses-01	run-04	0.12490533932950627	31.476242371986224
sub-0093	ses-01	run-05	0.11800976072812855	32.033098229621125
sub-0093	ses-01	run-06	0.32491864716417906	34.405159282433985
sub-0093	ses-03	run-01	0.22914146070884034	32.45986166819747
sub-0093	ses-03	run-02	0.16143342495522384	32.366765272101034
sub-0093	ses-03	run-03	0.14900785136854186	33.153260684270954
sub-0093	ses-03	run-04	0.16496718263030996	32.50252578530424
sub-0093	ses-03	run-05	0.16299167213915036	32.97065106659013
sub-0093	ses-03	run-06	0.44908147523765785	40.31472968886337
sub-0093	ses-04	run-01	0.2036721475591274	33.808694117106775
sub-0093	ses-04	run-02	0.28586787982663603	35.14385880711826
sub-0093	ses-04	run-03	0.22627285552675083	34.87494378874857
sub-0093	ses-04	run-04	0.1766664725430539	33.755082989667045
sub-0093	ses-04	run-05	0.5184318430608497	42.398535513203214
sub-0093	ses-04	run-06	0.22561421688748562	32.78398804707233
